Identifier,CP Short Title,Event Label,Parent Code,Name,Code,Lineage,Specimen Class,Specimen Type,Anatomic Site,Laterality,Pathology,Storage Type,Initial Quantity,Concentration,Quantity Unit,Concentration Unit,Collector#Email Address,Collection Container,Collection Procedure,Receiver#Email Address,Label Format,Label Auto Print Mode,Label Print Copies,Pre-barcoded Tube,Sort Order,Default Custom Field Values,Activity Status,Parent UID,Unique ID
4240,MMGE-MJFF-PPMI-BIO,SC,,,1,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Manual,10000.00000000,,uL,,,RNA PAXgene Tube 10mL,Not Specified,,,,,no,1,,Active,,sr_4240
4241,MMGE-MJFF-PPMI-BIO,SC,,,2,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Manual,10000.00000000,,uL,,,RNA PAXgene Tube 10mL,Not Specified,,,,,no,1,,Active,,sr_4241
4242,MMGE-MJFF-PPMI-BIO,SC,,,3,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,EDTA Tube - 10mL,Venipuncture,,,,,no,3,,Active,,sr_4242
4243,MMGE-MJFF-PPMI-BIO,SC,,,4,Derived,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,EDTA Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4242,sr_4243
4244,MMGE-MJFF-PPMI-BIO,SC,,,5,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4243,sr_4244
4245,MMGE-MJFF-PPMI-BIO,SC,,,6,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4243,sr_4245
4246,MMGE-MJFF-PPMI-BIO,SC,,,7,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4243,sr_4246
4247,MMGE-MJFF-PPMI-BIO,SC,,,8,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4243,sr_4247
4248,MMGE-MJFF-PPMI-BIO,SC,,,9,Derived,Fluid,Buffy Coat,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,EDTA Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4242,sr_4248
4249,MMGE-MJFF-PPMI-BIO,SC,,,10,Aliquot,Fluid,Buffy Coat,Not Specified,Not Specified,Not Specified,Manual,750.00000000,,uL,,,EDTA Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4248,sr_4249
4250,MMGE-MJFF-PPMI-BIO,SC,,,11,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Manual,3000.00000000,,uL,,,EDTA Tube - 3mL,Venipuncture,,,,,no,4,,Active,,sr_4250
4251,MMGE-MJFF-PPMI-BIO,SC,,,12,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Manual,3000.00000000,,uL,,,EDTA Tube - 3mL,Venipuncture,,,,,no,5,,Active,,sr_4251
4252,MMGE-MJFF-PPMI-BIO,SC,,,13,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,Serum (Red) Tube - 10mL,Venipuncture,,,,,no,6,,Active,,sr_4252
4253,MMGE-MJFF-PPMI-BIO,SC,,,14,Derived,Fluid,Serum,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,Serum (Red) Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4252,sr_4253
4254,MMGE-MJFF-PPMI-BIO,SC,,,15,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4253,sr_4254
4255,MMGE-MJFF-PPMI-BIO,SC,,,16,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4253,sr_4255
4256,MMGE-MJFF-PPMI-BIO,SC,,,17,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4253,sr_4256
4257,MMGE-MJFF-PPMI-BIO,SC,,,18,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Venipuncture,,,,,no,,,Active,sr_4253,sr_4257
4258,MMGE-MJFF-PPMI-BIO,SC,,,19,New,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,30000.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,7,,Active,,sr_4258
4259,MMGE-MJFF-PPMI-BIO,SC,,,20,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_4258,sr_4259
4260,MMGE-MJFF-PPMI-BIO,SC,,,21,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_4258,sr_4260
4261,MMGE-MJFF-PPMI-BIO,SC,,,22,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_4258,sr_4261
4262,MMGE-MJFF-PPMI-BIO,SC,,,23,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_4258,sr_4262
4263,MMGE-MJFF-PPMI-BIO,SC,,,24,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_4258,sr_4263
4264,MMGE-MJFF-PPMI-BIO,SC,,,25,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_4258,sr_4264
